decimal_date,de_seasoned
2016.375,404.41
2016.4583,404.59
2016.5417,404.24
2016.625,404.41
2016.7083,404.85
2016.7917,405.23
2016.875,405.74
2016.9583,405.33
2017.0417,406.04
2017.125,405.8
2017.2083,406.05
2017.2917,406.37
2017.375,406.37
2017.4583,406.68
2017.5417,407.01
2017.625,407.31
2017.7083,407.17
2017.7917,407.23
2017.875,407.36
2017.9583,407.71
2018.0417,407.83
2018.125,407.61
2018.2083,408.06
2018.2917,407.65
2018.375,407.98
2018.4583,408.6
2018.5417,408.6
2018.625,409.17
2018.7083,409.3
2018.7917,409.56
2018.875,410.24
2018.9583,409.99
2019.0417,410.69
2019.125,410.97
2019.2083,410.71
2019.2917,410.92
2019.375,411.47
2019.4583,411.74
2019.5417,411.64
2019.625,412.1
2019.7083,412.26
2019.7917,412.09
2019.875,412.5
2019.9583,412.71
2020.0417,413.22
2020.125,413.4
2020.2083,413.35
2020.2917,413.92
2020.375,413.98
2020.4583,414.15
2020.5417,414.19
2020.625,414.6
2020.7083,414.9
2020.7917,414.79
2020.875,415.11
2020.9583,414.91
2021.0417,415.23
2021.125,415.8
2021.2083,416.17
2021.2917,416.59
2021.375,415.88
2021.4583,416.48
2021.5417,416.48
2021.625,416.27
2021.7083,416.63
2021.7917,417.14
2021.875,416.92
2021.9583,417.37
2022.0417,417.82
2022.125,418.3
2022.2083,417.3
2022.2917,417.68
2022.375,417.71
2022.4583,418.51
2022.5417,418.44
2022.625,419.01
2022.7083,419.32
2022.7917,419.04
2022.875,419.49
2022.9583,419.72
2023.0417,419.16
2023.125,419.37
2023.2083,419.54
2023.2917,420.8
2023.375,420.75
2023.4583,421.24
2023.5417,421.41
2023.625,421.54
2023.7083,421.92
2023.7917,422.12
2023.875,422.48
2023.9583,422.58
2024.0417,422.5
2024.125,423.62
2024.2083,423.93
2024.2917,424.0
2024.375,423.64
2024.4583,424.48
2024.5417,425.14
2024.625,424.85
2024.7083,425.45
2024.7917,425.68
2024.875,425.87
2024.9583,426.12
2025.0417,426.35
2025.125,426.15
2025.2083,426.69
2025.2917,427.13
2025.375,427.25
